group_id,representative_feature,best_target,best_abs_r,best_r,mean_abs_r,non_null_targets,group_size
1,background_gray_p05_std,out_abs_error,0.1899000788100553,0.1899000788100553,0.1678674558961051,4,1
2,background_gray_p50_std,sum_abs_error,0.33093518867263483,0.33093518867263483,0.3176519746361034,4,1
3,background_value_std_std,sum_abs_error,0.3561847722797104,0.3561847722797104,0.34136031204083667,4,1
4,band_direction_entropy_max,out_abs_error,0.26978626104770953,-0.26978626104770953,0.25201676334582035,4,1
5,band_direction_entropy_p50,out_abs_error,0.2572742740383402,-0.2572742740383402,0.24236323241789595,4,3
6,band_direction_entropy_min,out_abs_error,0.09800840198492575,-0.09800840198492575,0.08239556987317806,4,1
7,band_direction_entropy_p90,out_abs_error,0.30682080229991515,-0.30682080229991515,0.29436775596979053,4,1
8,band_direction_entropy_std,out_abs_error,0.10413728687360295,0.10413728687360295,0.08830873891316277,4,1
9,band_flow_mag_p90_min,sum_abs_error,0.3753991434569957,0.3753991434569957,0.36177360031451766,4,4
10,bottom_filtered_candidate_pixels_p10,sum_abs_error,0.2995073523992236,0.2995073523992236,0.291049699590136,4,1
11,bottom_filtered_in_flux_p10,in_abs_error,0.1293411796538243,0.1293411796538243,0.11374759478831645,4,1
12,bottom_filtered_out_flux_p10,in_abs_error,0.16389982803919254,0.16389982803919254,0.1493767891819231,4,1
13,bottom_raw_candidate_pixels_min,in_abs_error,0.1472695706183926,0.1472695706183926,0.12323508549308229,4,1
14,bottom_raw_candidate_pixels_p10,sum_abs_error,0.3563985201355002,0.3563985201355002,0.3456458279914163,4,2
15,bottom_filtered_in_flux_max,sum_abs_error,0.3151627110718062,0.3151627110718062,0.29985529910139364,4,2
16,bottom_raw_in_flux_p10,in_abs_error,0.2078308229283874,0.2078308229283874,0.2019749069775198,4,1
17,bottom_raw_in_flux_p50,sum_abs_error,0.38871785051650526,0.38871785051650526,0.3755295688334999,4,1
18,bottom_raw_out_flux_p10,sum_abs_error,0.30550342142770576,0.30550342142770576,0.2973319768630519,4,1
19,candidate_direction_entropy_max,sum_abs_error,0.2618865026234201,0.2618865026234201,0.24981973033983068,4,1
20,candidate_direction_entropy_min,sum_abs_error,0.32749226217868327,0.32749226217868327,0.31537825152618726,4,1
21,candidate_direction_entropy_std,out_abs_error,0.03193026831229193,0.03193026831229193,0.02067127536763306,4,1
22,direction_balance_abs_max,in_abs_error,0.012191316510383205,0.012191316510383205,0.005966758515628616,4,1
23,direction_balance_abs_min,sum_abs_error,0.19349025862403388,-0.19349025862403388,0.1842037367232343,4,1
24,direction_balance_abs_p10,sum_abs_error,0.2834042249478956,-0.2834042249478956,0.26976022854409343,4,1
25,direction_balance_abs_p90,sum_abs_error,0.2854440532881305,-0.2854440532881305,0.27499140990414533,4,1
26,direction_balance_abs_std,sum_abs_error,0.21545364102615083,0.21545364102615083,0.2047834163091528,4,1
27,entrance_bright_ratio_min,sum_abs_error,0.08990840350828574,-0.08990840350828574,0.0864617673403764,4,1
28,entrance_bright_ratio_std,out_abs_error,0.027326637056066177,0.027326637056066177,0.014179187760666694,4,1
29,entrance_dark_ratio_std,in_abs_error,0.25275281951882805,0.25275281951882805,0.2357996971718106,4,1
30,entrance_gray_dynamic_range_std,sum_abs_error,0.2944903126601161,0.2944903126601161,0.2825591913374382,4,1
31,entrance_gray_entropy_std,out_abs_error,0.15760193529261604,0.15760193529261604,0.14724858994274054,4,1
32,entrance_gray_mean_std,out_abs_error,0.28282047495487816,0.28282047495487816,0.2697893255194416,4,1
33,entrance_gray_p05_std,out_abs_error,0.09011477546329402,0.09011477546329402,0.06495892827094643,4,1
34,entrance_gray_p50_std,out_abs_error,0.16837554159648305,0.16837554159648305,0.1569052419488884,4,1
35,entrance_gray_p95_std,sum_abs_error,0.43472242006197304,0.43472242006197304,0.41858215308610836,4,1
36,entrance_gray_std_std,sum_abs_error,0.3482966549158801,0.3482966549158801,0.3343608224000417,4,1
37,entrance_saturation_mean_std,out_abs_error,0.14172662489282428,0.14172662489282428,0.13460870709850223,4,1
38,entrance_saturation_std_min,in_abs_error,0.07380319901642486,-0.07380319901642486,0.06850568033385317,4,1
39,entrance_saturation_std_std,sum_abs_error,0.13366415922420963,0.13366415922420963,0.1292622497322928,4,1
40,entrance_value_mean_std,out_abs_error,0.3352605211725248,0.3352605211725248,0.32063112157823603,4,1
41,entrance_value_std_p50,out_abs_error,0.26655993302708103,0.26655993302708103,0.25025147217791943,4,4
42,entrance_value_std_min,out_abs_error,0.10497908764500928,0.10497908764500928,0.09196922977904964,4,1
43,entrance_value_std_p10,out_abs_error,0.23503138753210728,0.23503138753210728,0.22208212466701066,4,1
44,entrance_value_std_std,out_abs_error,0.1433245314701158,0.1433245314701158,0.1298698971852739,4,1
45,filtered_candidate_component_area_p90_min,sum_abs_error,0.1467315780364731,0.1467315780364731,0.14159802887442363,4,2
46,filtered_candidate_component_area_p90_p10,sum_abs_error,0.3340043926341475,0.3340043926341475,0.3188828617433155,4,3
47,filtered_candidate_component_area_p90_mean,out_abs_error,0.2915461465241403,0.2915461465241403,0.27527163055519366,4,12
48,filtered_candidate_component_area_p50_min,out_abs_error,0.0302586419805446,-0.0302586419805446,0.028092487074416934,4,1
49,filtered_to_raw_traffic_ratio_max,sum_abs_error,0.17543465301883845,0.17543465301883845,0.16699916331158282,4,1
50,filtered_to_raw_traffic_ratio_p50,sum_abs_error,0.31352436328127486,0.31352436328127486,0.29870522570267616,4,1
51,filtered_to_raw_traffic_ratio_p90,out_abs_error,0.17239379749083153,0.17239379749083153,0.16065680069393878,4,1
52,filtered_to_raw_traffic_ratio_std,in_abs_error,0.04640658329715965,-0.04640658329715965,0.03911827082966168,4,1
53,frame_diff_changed_ratio_10_min,sum_abs_error,0.41699252744819587,0.41699252744819587,0.4026562682881065,4,1
54,frame_diff_changed_ratio_25_min,sum_abs_error,0.359426740058684,0.359426740058684,0.34757565751816705,4,1
55,frame_diff_mean_min,sum_abs_error,0.4723373409044789,0.4723373409044789,0.4561591444225215,4,2
56,out_flux_share_min,sum_abs_error,0.06527223794361457,-0.06527223794361457,0.06211232341013402,4,2
57,out_flux_share_mean,in_abs_error,0.019663859460148436,-0.019663859460148436,0.01224145063112927,4,2
58,in_flux_share_min,sum_abs_error,0.05537686012560471,-0.05537686012560471,0.05253296215992604,4,2
59,out_flux_share_p90,total_abs_error,0.010092646134661187,-0.010092646134661187,0.008334638094065606,4,2
60,in_flux_share_p50,in_abs_error,0.04717884858020288,0.04717884858020288,0.030119666186581087,4,2
61,in_flux_share_p90,in_abs_error,0.007847312239487703,-0.007847312239487703,0.006492248622656106,4,2
62,in_flux_share_std,sum_abs_error,0.13357886735031996,-0.13357886735031996,0.12787617056535203,4,2
63,left_filtered_candidate_pixels_p10,sum_abs_error,0.30953484721094077,0.30953484721094077,0.3010648155894319,4,1
64,left_filtered_in_flux_max,out_abs_error,0.2769091612244657,0.2769091612244657,0.2593816316890775,4,1
65,left_filtered_in_flux_p10,out_abs_error,0.09817052181216376,0.09817052181216376,0.08554488974695709,4,1
66,left_filtered_out_flux_max,out_abs_error,0.30459772065693275,0.30459772065693275,0.28637795890597434,4,1
67,left_filtered_out_flux_p10,in_abs_error,0.10867605212119884,0.10867605212119884,0.09280299439809846,4,1
68,left_raw_candidate_pixels_min,out_abs_error,0.1330818325345146,0.1330818325345146,0.126893431679106,4,1
69,left_filtered_out_flux_p50,sum_abs_error,0.358679114599101,0.358679114599101,0.3475530217248684,4,2
70,left_raw_in_flux_max,out_abs_error,0.2302255344681611,0.2302255344681611,0.21348995628359188,4,1
71,left_raw_in_flux_p10,total_abs_error,0.20180350951138779,0.20180350951138779,0.19646685506993028,4,1
72,left_raw_in_flux_p50,sum_abs_error,0.38655170640113473,0.38655170640113473,0.3738324654793794,4,2
73,left_raw_out_flux_max,out_abs_error,0.26737765058446544,0.26737765058446544,0.24892446084805653,4,1
74,left_raw_out_flux_p10,total_abs_error,0.1562773760355832,0.1562773760355832,0.15217365649541076,4,1
75,left_raw_out_flux_p50,sum_abs_error,0.3890074907043115,0.3890074907043115,0.3762758364819374,4,1
76,persistence_max_max,sum_abs_error,0.2207682299059661,0.2207682299059661,0.21083598110849355,4,1
77,persistence_max_min,sum_abs_error,0.3997594423301217,0.3997594423301217,0.38406675076501856,4,1
78,persistence_max_p90,sum_abs_error,0.30896243987774447,0.30896243987774447,0.29534083064233274,4,1
79,persistence_max_std,total_abs_error,0.08403569553166723,-0.08403569553166723,0.08022204000852377,4,1
80,persistence_mean_min,sum_abs_error,0.40798716868957363,0.40798716868957363,0.3931039355705667,4,1
81,raw_candidate_component_area_max_min,sum_abs_error,0.33935503792195043,0.33935503792195043,0.32676006281238884,4,1
82,raw_candidate_component_area_p50_max,out_abs_error,0.20995834139744152,0.20995834139744152,0.1906595448493396,4,2
83,raw_candidate_component_area_mean_min,sum_abs_error,0.2741541495507056,0.2741541495507056,0.26351087155658925,4,1
84,raw_candidate_component_area_p50_min,out_abs_error,0.0034575797158606218,-0.0034575797158606218,0.0016337265247533992,4,1
85,raw_candidate_component_area_p50_p10,sum_abs_error,0.2669846287038617,0.2669846287038617,0.25570255213801446,4,1
86,raw_candidate_component_area_p50_p50,sum_abs_error,0.22685689200477885,0.22685689200477885,0.21482518339332274,4,1
87,raw_candidate_component_area_p90_min,sum_abs_error,0.30862992224248387,0.30862992224248387,0.29626970911691175,4,1
88,raw_candidate_component_area_p90_std,out_abs_error,0.21186808639499566,0.21186808639499566,0.19196721569516,4,1
89,raw_candidate_component_count_min,sum_abs_error,0.3517718827697933,0.3517718827697933,0.3393585482245204,4,1
90,raw_in_flux_min,sum_abs_error,0.20427723283887883,0.20427723283887883,0.1986060923264441,4,1
91,raw_out_flux_min,sum_abs_error,0.25993432282562134,0.25993432282562134,0.25290687167257625,4,1
92,raw_candidate_component_area_ratio_min,sum_abs_error,0.332702127670645,0.332702127670645,0.32156742970930363,4,5
93,rejected_component_count_p10,sum_abs_error,0.38832128313525643,0.38832128313525643,0.37434860664120845,4,1
94,right_filtered_candidate_pixels_p10,sum_abs_error,0.3353338207371877,0.3353338207371877,0.32320527819173034,4,1
95,right_filtered_in_flux_max,out_abs_error,0.2388692722906701,0.2388692722906701,0.22312033826700642,4,1
96,right_filtered_in_flux_p10,out_abs_error,0.14364764861704304,0.14364764861704304,0.1344039647756008,4,1
97,right_filtered_out_flux_max,out_abs_error,0.23703053959502102,0.23703053959502102,0.2198632467197964,4,1
98,right_filtered_out_flux_p10,in_abs_error,0.20592993340486732,0.20592993340486732,0.19167310061628984,4,1
99,right_raw_candidate_pixels_min,total_abs_error,0.24236375623539602,0.24236375623539602,0.23609494798169967,4,1
100,right_raw_in_flux_max,out_abs_error,0.19521420447729568,0.19521420447729568,0.17743613188738055,4,1
101,right_raw_in_flux_p10,out_abs_error,0.2731433143370596,0.2731433143370596,0.2654512386747727,4,1
102,right_raw_out_flux_max,out_abs_error,0.20210955458484825,0.20210955458484825,0.18493948676318495,4,1
103,right_raw_out_flux_p10,sum_abs_error,0.29435460478553993,0.29435460478553993,0.2861378594289023,4,1
104,entrance_bright_ratio_p10,in_abs_error,0.09768091420336728,-0.09768091420336728,0.09070146903820273,4,17
105,background_bright_ratio_std,out_abs_error,0.03966988090176211,0.03966988090176211,0.02774043670818345,4,2
106,roi_dark_ratio_std,in_abs_error,0.14860965206565965,0.14860965206565965,0.13323743420457354,4,2
107,roi_edge_density_std,out_abs_error,0.1712468895733562,0.1712468895733562,0.15142769222611,4,1
108,roi_flow_mag_mean_max,out_abs_error,0.2193330579820268,0.2193330579820268,0.20513455009805837,4,2
109,roi_flow_mag_mean_min,sum_abs_error,0.4159166117495726,0.4159166117495726,0.4006290682002771,4,3
110,roi_flow_mag_p99_max,out_abs_error,0.20595159385906517,0.20595159385906517,0.19081375960239128,4,1
111,frame_diff_mean_p10,sum_abs_error,0.48219237053478453,0.48219237053478453,0.4647353942867809,4,346
112,roi_flow_mag_p99_std,out_abs_error,0.20216645040985232,0.20216645040985232,0.18018581966291655,4,1
113,background_gray_dynamic_range_std,sum_abs_error,0.31647250262145615,0.31647250262145615,0.3054817762920233,4,2
114,background_gray_entropy_max,sum_abs_error,0.21063812781089486,0.21063812781089486,0.20151854458161472,4,18
115,background_gray_entropy_std,out_abs_error,0.16027521561873947,0.16027521561873947,0.15089604090350384,4,2
116,background_gray_mean_std,sum_abs_error,0.36644532178267714,0.36644532178267714,0.35257873872928935,4,2
117,entrance_gray_p50_min,in_abs_error,0.1471003699861123,-0.1471003699861123,0.13492088129827146,4,90
118,roi_gray_p05_std,out_abs_error,0.1459120116134717,0.1459120116134717,0.11920215707318364,4,1
119,roi_gray_p50_std,sum_abs_error,0.28888426912736226,0.28888426912736226,0.27687130818047834,4,1
120,roi_gray_p95_std,in_abs_error,0.3734135392475401,0.3734135392475401,0.3584150369562523,4,2
121,background_gray_dynamic_range_max,sum_abs_error,0.20611282502121006,0.20611282502121006,0.19712588557167807,4,36
122,background_gray_std_std,sum_abs_error,0.3622642591966117,0.3622642591966117,0.34982612826694914,4,2
123,roi_tenengrad_mean_max,out_abs_error,0.16659870894657602,0.16659870894657602,0.15308818769340388,4,18
124,roi_laplacian_var_std,out_abs_error,0.16121488337008724,0.16121488337008724,0.14798702142947423,4,1
125,background_saturated_ratio_p90,sum_abs_error,0.1547790256677752,-0.1547790256677752,0.14831482587314038,4,36
126,entrance_saturated_ratio_std,sum_abs_error,0.046041727818369065,-0.046041727818369065,0.044020997900003814,4,3
127,entrance_saturation_mean_max,in_abs_error,0.10541272190593927,0.10541272190593927,0.09916161063876122,4,18
128,background_saturation_mean_std,total_abs_error,0.07487755777363371,0.07487755777363371,0.07265928128241685,4,2
129,entrance_saturation_std_p10,in_abs_error,0.10607266194824645,-0.10607266194824645,0.10196700493382146,4,15
130,background_saturation_std_min,in_abs_error,0.025248993872417223,-0.025248993872417223,0.012382162289170351,4,2
131,background_saturation_std_std,total_abs_error,0.06190847058096082,0.06190847058096082,0.05948308558151022,4,2
132,roi_tenengrad_mean_std,out_abs_error,0.196235741242833,0.196235741242833,0.1798925649882907,4,1
133,background_value_mean_std,sum_abs_error,0.39569150381232765,0.39569150381232765,0.38099487818711403,4,2
134,background_value_std_max,sum_abs_error,0.35265019225337285,0.35265019225337285,0.3377761776970135,4,12
135,roi_value_std_std,out_abs_error,0.2711846118975287,0.2711846118975287,0.2559005670965537,4,1
136,top_filtered_in_flux_p10,sum_abs_error,0.3200660464184791,0.3200660464184791,0.3112178628735297,4,1
137,top_filtered_out_flux_p10,sum_abs_error,0.3057589512091983,0.3057589512091983,0.2973057509555806,4,1
138,top_raw_candidate_pixels_min,sum_abs_error,0.20059254543817898,0.20059254543817898,0.19494939842760087,4,1
139,top_raw_in_flux_p10,sum_abs_error,0.3524068945096037,0.3524068945096037,0.3411593254248628,4,1
140,top_raw_out_flux_p10,sum_abs_error,0.35689234008052734,0.35689234008052734,0.3460810076181987,4,1
141,total_direction_balance_abs,sum_abs_error,0.16959914263086623,-0.16959914263086623,0.1633080622331111,4,1
142,total_filtered_to_raw_traffic_ratio,sum_abs_error,0.24233626012690146,0.24233626012690146,0.23029777324909034,4,1
143,total_in_flux_share,in_abs_error,0.010443530392870897,0.010443530392870897,0.005402407995607717,4,2
